Altium Designer Pick and Place Locations
C:\Users\sturn\Desktop\Thunderbots\Electrical\PCB_Power\power-v3.3\pcb\Project Outputs for power_distribution\Pick Place\Pick Place for power-v3.3.csv

========================================================================================================================
File Design Information:

Date:       21-11-21
Time:       23:44
Revision:   f9e5a5d1bd8d84fed507ce28c2e18eb79a2c158c
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U9","ADM706SARZ-REEL","BottomLayer","SOIC127P600X175-8N","5189.908","4013.186","90","Supervisor Push-Pull, Totem Pole 1 Channel 8-SOIC"
"R68","1k","TopLayer","0603","3810.509","4137.852","90","RES SMD 1K OHM 1% 1/8W 0603/0805"
"R67","200","TopLayer","0603","4595.576","4064.092","180","RES SMD 200 OHM 5% 1/8W 0805"
"R66","200","TopLayer","0603","4840.580","4104.194","180","RES SMD 200 OHM 5% 1/8W 0805"
"R65","1k","TopLayer","0603","3760.628","4099.321","270","RES SMD 1K OHM 1% 1/8W 0603/0805"
"D17","df5a5.6cje","TopLayer","ESV_TOS-L","5053.048","4799.848","180","- Clamp - Ipp Tvs Diode Surface Mount ESV 4 Channel"
"R64","JUMPER","TopLayer","0603","4352.489","4197.774","90","RES SMD 0 OHM JUMPER GENERIC 0805/0603"
"J8","S5B-ZR-SM4A-TF (LF) (SN)","BottomLayer","JST_S5B-ZR-SM4A-TF","5183.267","4374.980","180","Connector Header Surface Mount, Right Angle 5 position 0.059" (1.50mm)"
"G_SPD","Test Point - 5019","TopLayer","TP380X203","5246.429","4382.317","270","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"G_DIR","Test Point - 5019","TopLayer","TP380X203","5071.760","4507.799","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"U11","ESP32-PICO-D4","TopLayer","PQFN50P700X700X104-49N","4025.153","3987.506","90","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount"
"J11","S4B-ZR(LF)(SN)","TopLayer","CN_S4B-ZR(LF)(SN)_JST","4794.506","5286.195","270","Connector Header Through Hole, Right Angle 4 position 0.059" (1.50mm)"
"J2","BM05B-ZESS-TBT(LF)(SN)","TopLayer","JST_ZE_SMT_5POS","3298.933","4480.971","270","CONN HEADER VERT SMD 5POS ZE"
"C53","0.1uF 25V","BottomLayer","0603","5063.446","3904.126","270","CAP CER 0.1UF 25V X7R 0805/0603"
"J4","0436500214","TopLayer","43650-0214","7068.363","5185.634","90","Connector Header Surface Mount, Right Angle 2 position 0.118" (3.00mm)"
"C35","0.10uF","TopLayer","0603","7553.894","3051.728","90","CAP CER 0.10UF 16V X5R 0603/0805"
"U8","ADUM141D1BRQZ","TopLayer","SOP64P600X175-16N","3673.747","4371.000","0","Digital Isolator CMOS 4-CH 150Mbps 16-Pin QSOP T/R"
"HRTBT","Test Point - 5019","TopLayer","TP380X203","3370.172","4823.945","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"C45","0.10uF","TopLayer","0603","3845.446","4426.780","90","CAP CER 0.10UF 16V X5R 0603/0805"
"C44","0.10uF","TopLayer","0603","3535.916","4509.922","0","CAP CER 0.10UF 16V X5R 0603/0805"
"C8","10uF","TopLayer","0603","6556.521","3591.480","0","CAP CER 10UF 16V X5R 0603/0805"
"U2","LM22677TJ-ADJ","TopLayer","TO127P1435X210-8N","5918.447","3260.502","90","3A SIMPLE SWITCHERÂ®, Step-Down Voltage Regulator"
"U1","LTC4151IMS#PBF","TopLayer","MSOP-10_MS_LIT","7575.245","3737.534","270","Power Supply Controller Power Supply Monitor 10-MSOP"
"Q2","IPB80P03P4L-04","TopLayer","IPB80P03P4L04","7346.946","4133.787","270","P-Channel 30 V 80A (Tc) 137W (Tc) Surface Mount PG-TO263-3-2"
"Q1","IPB80P03P4L-04","BottomLayer","IPB80P03P4L04","6969.541","4131.564","270","P-Channel 30 V 80A (Tc) 137W (Tc) Surface Mount PG-TO263-3-2"
"R56","100k","TopLayer","0603","5532.496","3931.234","0","RES SMD 100K OHM 5% 1/8W 0805/0603"
"R55","47k","TopLayer","0603","5530.826","3878.349","180","RES SMD 47k OHM 5% 1/8W 0805"
"Q6","TN2130K1-G","BottomLayer","SOT95P237X112-3N","5542.055","2995.373","0","N-Channel 300 V 85mA (Tj) 360mW (Tc) Surface Mount TO-236AB (SOT23)"
"Q9","IPB80P03P4L-04","TopLayer","IPB80P03P4L04","5011.376","3588.201","90","P-Channel 30 V 80A (Tc) 137W (Tc) Surface Mount PG-TO263-3-2"
"Q10","TN2130K1-G","TopLayer","SOT95P237X112-3N","5518.276","4034.782","270","N-Channel 300 V 85mA (Tj) 360mW (Tc) Surface Mount TO-236AB (SOT23)"
"D16","SMAZ12-13-F","TopLayer","SMA_DIO-L","5427.734","3774.518","90","Zener Diode 12 V 1 W ±5% Surface Mount SMA"
"VCC","Test Point (Via)","TopLayer","TP","8380.615","3514.928","90",""
"BOOT","TL3305AF260QG","TopLayer","SW_TL3305AF260QG","4476.428","4628.992","0","Tactile Switch SPST-NO Top Actuated Surface Mount"
"RESET","TL3305AF260QG","TopLayer","SW_TL3305AF260QG","4190.686","4630.164","0","Tactile Switch SPST-NO Top Actuated Surface Mount"
"U7","MCP14A0454T-E/SN","TopLayer","8-SOIC","4334.525","3361.084","270","Low-Side Gate Driver IC Non-Inverting 8-SOIC"
"U6","MCP6231UT-E/OT","TopLayer","SOT-23-5_MC_MCH-L","3617.608","3523.552","90","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"U5","LT3751IUFD#PBF","TopLayer","QFN-20_UFD_LIT-M","7349.410","3122.322","0","Photoflash Capacitor Charger PMIC 20-QFN (4x5)"
"U4","ZLDO1117K33TC","TopLayer","DPAK_(TO-252)","6085.075","4433.250","90","Linear Voltage Regulator IC Positive Fixed 1 Output  1A TO-252-3"
"U3","BD9C601EFJ-E2","TopLayer","HTSOP-J8_ROM-BD9C601EFJ-E2","6343.268","3661.885","180","IC REG BUCK ADJ 6A 8HTSOP-J"
